CodAerolinea|IDAerolinea|AeropuertoOrigen|AeropuertoOrigenID|AeropuertoDestino|AeropuertoDestinoID|OperadoCarrier|Stops|Equipamiento|TicketsVendidos|Lugares|PrecioTicket|KilometrosTotales|Fecha|ocupacion
4U|2548|DUS|345|ZAD|1209||0|CRJ|11|105|64.92|1938.89|2023-01-01|10.476190476190476
4U|2548|FMM|3986|TXL|351||0|CRJ|17|100|57.19|1712.42|2023-01-01|17.0
4U|2548|HAM|342|OSL|644||0|CRJ|9|83|59.54|1901.24|2023-01-01|10.843373493975903
4U|2548|HER|1452|CGN|344||0|320 319|12|101|79.48|1521.03|2023-01-01|11.881188118811881
4U|2548|IBZ|1225|TXL|351||0|319|13|66|56.06|1609.67|2023-01-01|19.696969696969695
4U|2548|NAP|1561|HAJ|352||0|319|2|79|53.69|3287.82|2023-01-01|2.5316455696202533
4U|2548|PRN|1742|DUS|345||0|319|1|54|52.47|3231.9|2023-01-01|1.8518518518518516
4U|2548|SAW|4317|TXL|351||0|319|29|120|54.01|3448.07|2023-01-01|24.166666666666668
4U|2548|STR|350|BIA|1321||0|319|25|111|53.43|7468.54|2023-01-01|22.52252252252252
4U|2548|STR|350|KVA|1462||0|319|9|53|61.57|6726.599999999999|2023-01-01|16.9811320754717
4U|2548|STR|350|RLG|772||0|319|18|87|74.67|3300.47|2023-01-01|20.689655172413794
4U|2548|STR|350|ZAG|1208||0|319|15|101|53.54|3937.34|2023-01-01|14.85148514851485
4U|2548|TXL|351|CGN|344||0|320 319|3|83|54.16|3830.2|2023-01-01|3.614457831325301
4U|2548|TXL|351|LHR|507||0|319 320|0|73|72.12|1806.82|2023-01-01|0.0
4U|2548|TXL|351|VRN|1550||0|319|2|85|62.76|895.13|2023-01-01|2.3529411764705883
4U|2548|ZAG|1208|CGN|344||0|CRJ 319|1|13|69.79|3741.15|2023-01-01|7.6923076923076925
4Y|1173|BET|3599|EEK|7093||0|CNA|22|92|77.82|1887.1000000000001|2023-01-01|23.91304347826087
4Y|1173|BET|3599|MLL|7097||0|CNA|1|55|58.73|9573.85|2023-01-01|1.8181818181818181
5C|1581|SJO|1885|TNO|5844||0|DHT|3|35|71.89|1147.0|2023-01-01|8.571428571428571
5C|1581|TNO|5844|LIR|1881||0|DHT|4|63|68.7|7111.3|2023-01-01|6.349206349206349
5J|1683|BCD|2423|DVO|4090||0|320|4|31|68.39|1789.71|2023-01-01|12.903225806451612
5J|1683|CEB|4206|TAC|2422||0|ATR 319|12|49|58.2|7337.200000000001|2023-01-01|24.489795918367346
5J|1683|CGY|2400|MNL|2397||0|320 319|13|64|52.09|1166.55|2023-01-01|20.3125
5J|1683|DPS|3940|MNL|2397||0|320|22|113|78.42|2365.24|2023-01-01|19.469026548672566
5J|1683|DVO|4090|MNL|2397||0|320 330|12|68|54.11|1019.93|2023-01-01|17.647058823529413
5J|1683|KLO|2430|MNL|2397||0|320 ATR 319|2|61|59.75|2048.59|2023-01-01|3.278688524590164
5J|1683|MNL|2397|CGK|3275||0|320|19|87|70.88|1322.17|2023-01-01|21.839080459770116
5J|1683|MNL|2397|HAN|3199||0|319|17|77|79.0|1436.23|2023-01-01|22.07792207792208
5J|1683|MNL|2397|ICN|3930||0|330|14|96|60.03|3751.74|2023-01-01|14.583333333333334
5J|1683|MNL|2397|KUL|3304||0|320|2|33|72.7|2431.6|2023-01-01|6.0606060606060606
5J|1683|MNL|2397|PPS|2433||0|320 319|4|23|51.0|3627.9|2023-01-01|17.391304347826086
5J|1683|MNL|2397|USU|4199||0|ATR|20|102|67.89|1616.81|2023-01-01|19.607843137254903
5J|1683|NRT|2279|MNL|2397||0|320|6|26|69.18|2561.21|2023-01-01|23.076923076923077
5J|1683|OZC|4204|CEB|4206||0|ATR|1|83|62.14|2497.34|2023-01-01|1.2048192771084338
5N|503|SVO|2985|ARH|4362||0|735|13|79|58.12|1503.68|2023-01-01|16.455696202531644
5Q|18232|MVD|2816|SCL|2650||0|319|23|96|71.66|1418.98|2023-01-01|23.958333333333336
5T|1623|YVQ|155|YZF|196||0|73M 733|6|74|52.91|1137.81|2023-01-01|8.108108108108109
5Z|18946|PBZ|\N|CPT|797||0|BEH|16|65|75.4|3209.37|2023-01-01|24.615384615384617
6E|2850|BLR|3131|PNQ|3017||0|320|16|79|61.46|1436.05|2023-01-01|20.253164556962027
6E|2850|BLR|3131|VTZ|3066||0|320|24|98|51.78|3147.19|2023-01-01|24.489795918367346
6E|2850|BOM|2997|JAI|3098||0|320|11|68|77.55|8288.1|2023-01-01|16.176470588235293
6E|2850|MAA|3144|TRV|3153||0|320|8|52|63.1|2060.44|2023-01-01|15.384615384615385
6E|2850|NAG|3015|DEL|3093||0|320|10|58|68.27|3032.17|2023-01-01|17.24137931034483
6L|\N|YUB|145|YEV|54||0|DHT|13|85|53.41|1288.31|2023-01-01|15.294117647058824
6R|1340|PYJ|6092|YKS|2923||0|AN4|12|104|55.24|6544.8|2023-01-01|11.538461538461538
7C|2994|GMP|2378|NGO|3942||0|737|21|106|68.35|4240.97|2023-01-01|19.81132075471698
7C|2994|ICN|3930|MNL|2397||0|737|12|87|52.74|8427.57|2023-01-01|13.793103448275861
7F|2354|YEK|50|YXN|5534||0|AT4|15|89|55.63|1658.75|2023-01-01|16.853932584269664
7F|2354|YEV|54|YVQ|155||0|73M|13|93|57.77|872.15|2023-01-01|13.978494623655912
7F|2354|YRT|132|YBK|29||0|AT4|23|100|61.9|1590.3999999999999|2023-01-01|23.0
7H|16726|ANC|3774|KSM|6718||0|DH8|3|24|56.36|1477.8999999999999|2023-01-01|12.5
7H|16726|BET|3599|VAK|5968|Y|0|CNA|1|50|68.22|4513.4|2023-01-01|2.0
7H|16726|CKD|7238|RDV|7239|Y|0|CNA|4|83|65.6|9521.72|2023-01-01|4.819277108433735
7H|16726|FAI|3832|ANC|3774||0|DH8 BE1|4|35|53.67|2608.95|2023-01-01|11.428571428571429
7H|16726|FYU|3420|FAI|3832|Y|0|BE1|8|81|74.36|1457.4|2023-01-01|9.876543209876543
7H|16726|KWT|7095|KKI|\N|Y|0|CNA|4|55|69.74|1076.89|2023-01-01|7.2727272727272725
7H|16726|NUL|7111|KAL|6717|Y|0|CNC BE1|1|51|72.71|2692.36|2023-01-01|1.9607843137254901
7H|16726|OOK|8200|MYU|6720|Y|0|CNC CNA|10|66|55.45|1984.74|2023-01-01|15.151515151515152
7H|16726|OTZ|3693|WTK|6725|Y|0|CNC|5|82|54.91|3440.2|2023-01-01|6.097560975609756
7H|16726|RSH|7098|BET|3599|Y|0|CNA|10|75|73.39|7275.5|2023-01-01|13.333333333333334
7H|16726|SKK|7192|UNK|7088|Y|0|CNC|8|71|65.83|1330.42|2023-01-01|11.267605633802818
7H|16726|UNK|7088|SMK|7191|Y|0|CNA CNC|6|31|76.58|3825.8999999999996|2023-01-01|19.35483870967742
7H|16726|VAK|5968|HPB|6716|Y|0|CNA|20|118|76.5|1071.89|2023-01-01|16.94915254237288
7H|16726|VDZ|3865|ANC|3774||0|DH8 BE1|18|116|69.24|1133.52|2023-01-01|15.517241379310345
7J|9531|OVB|4078|LBD|6147||0|735|13|110|75.54|1473.1999999999998|2023-01-01|11.818181818181818
7J|9531|SHJ|2191|DYU|2979||0|735|11|77|61.48|1003.66|2023-01-01|14.285714285714285
7M|16615|MID|1819|CUN|1852||0|D28|2|89|69.69|6168.8|2023-01-01|2.247191011235955
7M|16615|VER|1854|VSA|1853||0|D28|23|95|53.24|1038.68|2023-01-01|24.210526315789473
7P|1500|PAC|1869|BFQ|5955||0|DHT|18|73|74.01|3341.21|2023-01-01|24.65753424657534
7P|1500|PAC|1869|PVE|7901||0|DHT|21|121|77.93|2659.38|2023-01-01|17.355371900826448
7P|1500|PAC|1869|PYC|7895||0|DHT|5|42|56.95|870.05|2023-01-01|11.904761904761903
7P|1500|SJO|1885|DAV|1867||0|F50|1|79|73.79|1141.59|2023-01-01|1.2658227848101267
7R|1469|VOZ|2987|KRR|2960||0|CR2|16|95|63.06|5478.400000000001|2023-01-01|16.842105263157894
8E|1472|WBB|7193|SMK|7191||0|BE1|18|91|57.67|1087.34|2023-01-01|19.78021978021978
8L|2942|HFE|3389|PVG|3406||0|319|18|77|66.68|2080.26|2023-01-01|23.376623376623375
8L|2942|HGH|3386|KOW|6379||0|321|14|70|63.51|1896.76|2023-01-01|20.0
8L|2942|LJG|4033|KWE|3394||0|319|24|116|52.01|7101.1|2023-01-01|20.689655172413794
8L|2942|NKG|3388|KWE|3394||0|737|3|84|75.08|1533.4|2023-01-01|3.571428571428571
8P|3856|YVR|156|YQQ|119||0|BE1 SF3|17|86|79.27|1631.02|2023-01-01|19.767441860465116
8Q|3788|AYT|1688|IST|1701||0|320|1|62|60.89|1074.89|2023-01-01|1.6129032258064515
8Q|3788|IST|1701|DLM|1715||0|320|15|67|78.41|3984.35|2023-01-01|22.388059701492537
8Q|3788|IST|1701|GZT|1689||0|320|27|110|70.62|1510.23|2023-01-01|24.545454545454547
8R|5188|CRD|2487|RGL|2496||0|SF3|17|90|63.18|1274.02|2023-01-01|18.88888888888889
8U|32|BEN|1154|MRA|5804||0|320|11|102|53.26|3115.2|2023-01-01|10.784313725490197
8U|32|MRA|5804|SFA|295||0|320 319|8|62|71.34|1920.6|2023-01-01|12.903225806451612
8U|32|SFA|295|TIP|1157||0|320 319|4|32|67.46|7201.900000000001|2023-01-01|12.5
8U|32|TIP|1157|IST|1701||0|332 319|10|97|66.85|2822.48|2023-01-01|10.309278350515463
8V|55|BTT|3417|AKP|6712||0|CNC|12|78|60.42|2993.07|2023-01-01|15.384615384615385
8V|55|TAL|7113|RBY|6722||0|CNC|17|92|76.58|2567.26|2023-01-01|18.478260869565215
9C|15999|HRB|3400|HIA|7898||0|320|12|102|55.65|1961.17|2023-01-01|11.76470588235294
9C|15999|KIX|3992|PVG|3406||0|320|3|35|65.66|2742.03|2023-01-01|8.571428571428571
9C|15999|KMG|3382|CGD|6352||0|320|10|55|58.3|3028.8|2023-01-01|18.181818181818183
9C|15999|LYA|4148|SHE|4144||0|320|3|21|55.37|4877.6|2023-01-01|14.285714285714285
9C|15999|SHA|3391|KMG|3382||0|320|11|75|50.23|6264.099999999999|2023-01-01|14.666666666666666
9C|15999|SHA|3391|ZYI|\N||0|320|18|96|67.09|1374.41|2023-01-01|18.75
9C|15999|SJW|6347|KMG|3382||0|320|1|43|58.46|3233.0|2023-01-01|2.3255813953488373
9C|15999|SJW|6347|SHE|4144||0|320|9|58|59.16|4365.7|2023-01-01|15.517241379310345
9K|1629|BOS|3448|HYA|4278||0|CNA|2|10|79.9|1081.83|2023-01-01|20.0
9K|1629|BOS|3448|SLK|5770||0|CNA|4|78|60.19|6700.0|2023-01-01|5.128205128205128
9K|1629|MVY|4265|EWB|5737||0|CNA|18|96|77.77|1625.71|2023-01-01|18.75
9K|1629|SJU|2890|CPX|6814||0|BNI|18|88|61.16|6307.200000000001|2023-01-01|20.454545454545457
9M|\N|YEG|49|YOP|7266||0|BEH|9|67|70.03|1677.0|2023-01-01|13.432835820895523
9M|\N|YYC|178|YLL|85||0|BEH D38|2|42|71.48|2733.2|2023-01-01|4.761904761904762
9N|\N|BCV|8227|SPR|4279||0|CNC|11|71|77.84|1163.06|2023-01-01|15.492957746478872
9N|\N|BCV|8227|SQS|\N||0|CNC|9|84|67.33|1168.1|2023-01-01|10.714285714285714
9N|\N|BCV|8227|TZA|6463||0|CNC|27|120|71.04|941.46|2023-01-01|22.5
9N|\N|PLJ|7288|PND|5455||0|CNC|24|106|73.81|1490.72|2023-01-01|22.641509433962266
9N|\N|SPR|4279|BZE|1957||0|CNC|8|105|74.2|1988.78|2023-01-01|7.6190476190476195
9R|4691|BOG|2709|VGZ|7359||0|AT5|13|86|79.23|822.18|2023-01-01|15.11627906976744
9R|4691|CZU|2717|BOG|2709||0|AT7|10|80|57.93|3082.46|2023-01-01|12.5
9R|4691|LCR|7356|ACR|6740||0|BE1|3|49|67.91|2994.48|2023-01-01|6.122448979591836
9R|4691|LPD|6052|LET|2728||0|BE1|11|45|59.55|2525.4|2023-01-01|24.444444444444443
9R|4691|PDA|6054|BOG|2709||0|E70|0|58|63.75|3684.0|2023-01-01|0.0
9R|4691|PDA|6054|VVC|2756||0|E70|6|52|60.72|1492.51|2023-01-01|11.538461538461538
9R|4691|PVA|2743|ADZ|2749||0|L4T|3|90|61.83|1964.32|2023-01-01|3.3333333333333335
9U|1073|KBP|2939|KIV|1735||0|EM2|11|64|76.6|6817.799999999999|2023-01-01|17.1875
9U|1073|KIV|1735|BLQ|1538||0|E90|0|4|65.47|7702.09|2023-01-01|0.0
9U|1073|KIV|1735|DUB|599||0|E90|19|94|60.98|879.15|2023-01-01|20.212765957446805
9U|1073|LIS|1638|KIV|1735||0|E90|4|73|58.17|3123.81|2023-01-01|5.47945205479452
9V|\N|CCS|2851|MRD|2849||0|F50|4|80|51.15|7308.7|2023-01-01|5.0
9V|\N|PTY|1871|BLA|2821||0|734|4|35|53.22|1158.91|2023-01-01|11.428571428571429
9W|3000|BOM|2997|NAG|3015|Y|0|73G|12|53|76.05|3789.82|2023-01-01|22.641509433962266
9W|3000|BOM|2997|NRT|2279|Y|0|737|24|121|60.26|1474.27|2023-01-01|19.834710743801654
9W|3000|BOM|2997|VTZ|3066||0|738|4|93|64.32|1625.2|2023-01-01|4.301075268817205
9W|3000|DEL|3093|GAU|6173|Y|0|738|10|52|77.0|3842.31|2023-01-01|19.230769230769234
9W|3000|MAA|3144|SIN|3316||0|73H|0|92|56.51|3205.2|2023-01-01|0.0
A2|1780|CFU|1460|SKG|1486||0|143|11|74|75.6|1943.59|2023-01-01|14.864864864864865
A2|1780|SKG|1486|JKH|1450||0|143|6|39|50.99|2073.58|2023-01-01|15.384615384615385
A3|96|ATH|3941|HER|1452||0|321 DH4 320|11|79|58.64|7041.4|2023-01-01|13.924050632911392
A3|96|ATH|3941|TBS|3973||0|320|8|59|59.91|7688.5|2023-01-01|13.559322033898304
A3|96|ATH|3941|TXL|351||0|320|12|81|79.32|1782.29|2023-01-01|14.814814814814813
A3|96|GVA|1665|ATH|3941||0|320|1|15|71.31|1173.47|2023-01-01|6.666666666666667
A3|96|HER|1452|BRU|302||0|320|10|81|68.08|3936.0|2023-01-01|12.345679012345679
A3|96|JSH|1480|KSJ|1461||0|DH8|20|118|72.39|1456.97|2023-01-01|16.94915254237288
A3|96|LCA|1197|ATH|3941||0|320|7|75|71.62|3235.37|2023-01-01|9.333333333333334
A3|96|LRS|1464|ATH|3941||0|DH8|29|121|66.44|7877.7|2023-01-01|23.96694214876033
A4|4550|TDD|2769|LPB|2762||0|SWM|2|40|59.82|1960.9|2023-01-01|5.0
A5|1203|AGF|1262|ORY|1386||0|AT5|19|106|78.32|1530.6999999999998|2023-01-01|17.92452830188679
A5|1203|AJA|1324|DCM|1285||0|AT5|19|89|73.87|2183.31|2023-01-01|21.34831460674157
A5|1203|BIQ|1280|LIL|1399||0|ER4|15|90|78.0|4072.88|2023-01-01|16.666666666666664
A5|1203|LYS|1335|GOT|687||0|ER4|5|55|69.42|1089.42|2023-01-01|9.090909090909092
A5|1203|MRS|1353|SXB|1435||0|CR7 ER4 E70|1|13|66.13|1321.91|2023-01-01|7.6923076923076925
A5|1203|ORY|1386|BVE|1278||0|AT5|13|73|57.98|1638.97|2023-01-01|17.80821917808219
AA|24|ABE|4355|PHL|3752||0|DH3|14|97|79.19|1034.02|2023-01-01|14.432989690721648
AA|24|AEX|3852|DFW|3670|Y|0|ER4 CRJ ERD|1|64|58.81|1232.75|2023-01-01|1.5625
AA|24|ARN|737|LHR|507|Y|0|320 321 319|29|124|52.21|3209.82|2023-01-01|23.387096774193548
AA|24|AUA|2895|CLT|3876||0|757 319 320|11|64|67.46|1198.82|2023-01-01|17.1875
AA|24|AUA|2895|MIA|3576||0|738|0|86|71.03|2397.0|2023-01-01|0.0
AA|24|BDL|3825|PHL|3752||0|319 DH3 E90|6|94|55.97|3813.48|2023-01-01|6.382978723404255
AA|24|BOS|3448|PHX|3462||0|320 319 321|5|50|70.6|3765.7|2023-01-01|10.0
AA|24|BZE|1957|CLT|3876||0|319|1|13|70.61|5139.9|2023-01-01|7.6923076923076925
AA|24|CLE|3486|PHL|3752|Y|0|E75 CRJ E70 CR9|21|113|53.42|1196.89|2023-01-01|18.58407079646018
AA|24|CLT|3876|DAY|3627||0|CRJ|5|87|53.23|1780.06|2023-01-01|5.747126436781609
AA|24|CLT|3876|DFW|3670||0|M80 321 319 M83 320 737 757|6|81|74.52|1115.8|2023-01-01|7.4074074074074066
AA|24|CLT|3876|FCO|1555||0|333|14|72|53.91|1645.12|2023-01-01|19.444444444444446
AA|24|CLT|3876|LAX|3484||0|321|12|71|73.2|7757.9|2023-01-01|16.901408450704224
AA|24|CLT|3876|PDX|3720||0|320|5|100|50.99|1194.38|2023-01-01|5.0
AA|24|CMH|3759|MIA|3576|Y|0|ER4|4|60|57.44|1348.8|2023-01-01|6.666666666666667
AA|24|CUN|1852|JFK|3797||0|738|1|32|79.68|1084.04|2023-01-01|3.125
AA|24|CVG|3488|CLT|3876||0|CRJ|10|77|55.36|1295.06|2023-01-01|12.987012987012985
AA|24|CVG|3488|ORD|3830|Y|0|ER4|12|64|51.13|1295.28|2023-01-01|18.75
AA|24|DCA|3520|PHL|3752||0|319 320 DH3|6|99|63.49|1920.77|2023-01-01|6.0606060606060606
AA|24|DEN|3751|LHR|507|Y|0|777|28|119|77.25|2687.23|2023-01-01|23.52941176470588
AA|24|DFW|3670|FAR|4292|Y|0|ER4 ERD|5|37|77.51|829.55|2023-01-01|13.513513513513514
AA|24|DFW|3670|GIG|2560||0|763|2|50|50.6|2550.6|2023-01-01|4.0
AA|24|DFW|3670|GRK|3775|Y|0|ER4 CRJ ERD|6|36|52.17|2240.7|2023-01-01|16.666666666666664
AA|24|DFW|3670|HOU|3566||0|M83 M80|18|87|64.35|7079.0|2023-01-01|20.689655172413794
AA|24|DFW|3670|LAW|4256|Y|0|ERD ER4|1|60|64.62|4424.25|2023-01-01|1.6666666666666667
AA|24|DFW|3670|LFT|3493|Y|0|ERD ER4 CRJ|29|128|66.43|2230.38|2023-01-01|22.65625
AA|24|DFW|3670|LIM|2789||0|763|24|105|58.41|1600.0|2023-01-01|22.857142857142858
AA|24|DFW|3670|MTY|1825||0|M80 M83|4|90|61.55|3747.82|2023-01-01|4.444444444444445
AA|24|DFW|3670|RDU|3626||0|M80 M83 738|6|98|57.27|4858.7|2023-01-01|6.122448979591836
AA|24|DSM|3729|PHX|3462||0|319|3|35|69.06|1770.09|2023-01-01|8.571428571428571
AA|24|DTW|3645|LGA|3697|Y|0|CR7|18|75|50.31|3028.1|2023-01-01|24.0
AA|24|DUB|599|JFK|3797||0|757|5|95|79.17|2711.05|2023-01-01|5.263157894736842
AA|24|DUB|599|ORD|3830||0|763|12|83|50.23|2081.81|2023-01-01|14.457831325301203
AA|24|ELP|3559|DFW|3670||0|M80 319|1|16|63.7|2666.65|2023-01-01|6.25
AA|24|EYW|3875|MIA|3576|Y|0|ERD|26|115|70.75|1708.11|2023-01-01|22.608695652173914
AA|24|FLL|3533|CLT|3876||0|319 321 320 737|18|83|62.28|8516.37|2023-01-01|21.686746987951807
AA|24|GSO|4008|MIA|3576|Y|0|ER4|20|89|51.2|6086.0|2023-01-01|22.47191011235955
AA|24|IAH|3550|LHR|507|Y|0|744 777|11|105|58.37|2648.1|2023-01-01|10.476190476190476
AA|24|JAN|3580|DCA|3520|Y|0|CRJ|9|40|64.03|1020.75|2023-01-01|22.5
AA|24|JFK|3797|EZE|3988||0|777|19|96|71.87|982.29|2023-01-01|19.791666666666664
AA|24|LAX|3484|CMH|3759||0|738|3|61|59.68|1104.11|2023-01-01|4.918032786885246
AA|24|LAX|3484|EUG|4099|Y|0|CRJ|13|58|56.42|1431.53|2023-01-01|22.413793103448278
AA|24|LAX|3484|HKG|3077|Y|0|773|2|38|72.2|4276.1|2023-01-01|5.263157894736842
AA|24|LAX|3484|PVG|3406||0|777|7|100|73.44|3358.8|2023-01-01|7.000000000000001
AA|24|LAX|3484|STS|6992|Y|0|DH4|8|49|71.87|1666.9|2023-01-01|16.3265306122449
AA|24|LGA|3697|LIT|3660|Y|0|CR7|0|25|52.99|3834.87|2023-01-01|0.0
AA|24|LHR|507|FRA|340|Y|0|319 320|5|30|54.58|1586.0|2023-01-01|16.666666666666664
AA|24|LHR|507|LAS|3877|Y|0|744|27|109|53.72|4003.19|2023-01-01|24.770642201834864
AA|24|LHR|507|LCA|1197|Y|0|767|11|77|57.35|2656.79|2023-01-01|14.285714285714285
AA|24|LHR|507|SVG|666|Y|0|319|5|92|63.67|5697.7|2023-01-01|5.434782608695652
AA|24|MCO|3878|DFW|3670||0|738 M83 M80 757|15|66|64.79|2774.76|2023-01-01|22.727272727272727
AA|24|MCO|3878|SAN|3731|Y|0|737|25|116|52.68|1178.52|2023-01-01|21.551724137931032
AA|24|MEM|3473|DCA|3520|Y|0|CRJ|8|34|70.35|2057.35|2023-01-01|23.52941176470588
AA|24|MIA|3576|CLT|3876||0|319 321 320 737|19|87|62.97|917.4|2023-01-01|21.839080459770116
AA|24|MIA|3576|EYW|3875|Y|0|ERD|13|58|64.65|3114.95|2023-01-01|22.413793103448278
AA|24|MIA|3576|FPO|1948|Y|0|ER4 ERD|5|33|50.18|2997.49|2023-01-01|15.151515151515152
AA|24|MIA|3576|NAS|1953|Y|0|ER4 ERD|6|98|52.67|3468.08|2023-01-01|6.122448979591836
